pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
102,1,36.0,57.99999999999999,2,2,4,pareto,mc
102,2,21.0,73.0,1,1,1,beta,mc
102,3,54.0,36.0,1,2,2,pareto,mc
102,4,48.0,43.0,2,1,3,pareto,nc
102,5,31.0,65.0,1,2,2,pareto,mc
102,6,51.0,35.0,2,1,3,pareto,mc
102,7,22.0,75.0,2,2,4,beta,mc
102,8,54.0,36.0,1,2,2,pareto,nc
102,9,27.0,65.0,2,2,4,beta,nmc
102,10,40.0,35.0,1,1,1,pareto,nc
102,11,25.0,73.0,1,2,2,beta,nc
102,12,26.0,70.0,1,2,2,beta,nc
102,13,22.0,75.0,2,2,4,beta,nmc
102,14,25.0,73.0,1,2,2,beta,mc
102,15,27.0,65.0,2,2,4,beta,nc
102,16,37.0,56.99999999999999,1,1,1,beta,nc
102,17,50.0,50.0,1,1,0,ac,nc
102,18,22.0,75.0,2,2,4,beta,nc
102,19,37.0,36.0,2,2,4,pareto,mc
102,20,17.0,80.0,2,1,3,beta,nc
102,21,17.0,80.0,2,1,3,beta,mc
102,22,37.0,36.0,2,2,4,pareto,nc
102,23,27.0,65.0,2,2,4,beta,mc
102,24,40.0,35.0,1,1,1,pareto,nmc
102,25,48.0,30.0,1,1,1,pareto,mc
102,26,24.0,68.0,2,1,3,beta,nc
102,27,40.0,56.00000000000001,1,1,0,ac,nc
102,28,21.0,73.0,1,1,1,beta,nc
102,29,37.0,56.99999999999999,1,1,1,beta,nmc
102,30,48.0,30.0,1,1,1,pareto,nmc
102,31,51.0,35.0,2,1,3,pareto,nc
102,32,31.0,65.0,1,2,2,pareto,nc
102,33,48.0,30.0,1,1,1,pareto,nc
102,34,36.0,57.99999999999999,2,2,4,pareto,nmc
102,35,37.0,36.0,2,2,4,pareto,nmc
102,36,21.0,73.0,1,1,1,beta,nmc
102,37,37.0,56.99999999999999,1,1,1,beta,mc
102,38,24.0,68.0,2,1,3,beta,mc
102,39,40.0,35.0,1,1,1,pareto,mc
102,40,26.0,70.0,1,2,2,beta,mc
102,41,48.0,43.0,2,1,3,pareto,mc
102,42,36.0,57.99999999999999,2,2,4,pareto,nc
